year,origin,destination,foreigners male arrivals,foreigners female arrivals,total foreigners,total male,total female,total
2000,Sachsen,Nordrhein-Westfalen,791,370,1161,3827,3647,7474
2000,Sachsen,Hessen,391,176,567,2265,2327,4592
2000,Sachsen,Rheinland-Pfalz,136,77,213,1109,1126,2235
2000,Sachsen,Baden-Wurttemberg,557,386,943,6225,5838,12063
2000,Sachsen,Bayern,739,350,1089,8435,8491,16926
2000,Sachsen,Saarland,17,12,29,127,130,257
2000,Sachsen,Berlin,402,220,622,1852,1908,3760
2000,Sachsen,Brandenburg,117,70,187,1628,1785,3413
2000,Sachsen,Mecklenburg-Vorpommern,46,20,66,637,669,1306
2000,Sachsen,Sachsen,0,0,0,0,0,0
2000,Sachsen,Sachsen-Anhalt,228,98,326,1725,1680,3405
2000,Sachsen,Thuringen,141,51,192,1712,1748,3460
2000,Sachsen,Insgesamt,3975,2084,6059,32648,32411,65059
2000,Sachsen-Anhalt,Schleswig-Holstein,58,25,83,559,523,1082
2000,Sachsen-Anhalt,Hamburg,82,33,115,409,375,784
2000,Sachsen-Anhalt,Niedersachsen,393,258,651,5141,5602,10743
2000,Sachsen-Anhalt,Bremen,26,13,39,155,195,350
2000,Sachsen-Anhalt,Nordrhein-Westfalen,653,346,999,3255,3147,6402
2000,Sachsen-Anhalt,Hessen,243,123,366,1440,1423,2863
2000,Sachsen-Anhalt,Rheinland-Pfalz,111,67,178,773,770,1543
2000,Sachsen-Anhalt,Baden-Wurttemberg,320,182,502,2968,2778,5746
2000,Sachsen-Anhalt,Bayern,485,221,706,3544,3287,6831
2000,Sachsen-Anhalt,Saarland,14,10,24,80,73,153
2000,Sachsen-Anhalt,Berlin,302,216,518,1389,1433,2822
2000,Sachsen-Anhalt,Brandenburg,92,46,138,1081,1227,2308
2000,Sachsen-Anhalt,Mecklenburg-Vorpommern,29,10,39,583,620,1203
2000,Sachsen-Anhalt,Sachsen,217,125,342,2600,2494,5094
2000,Sachsen-Anhalt,Sachsen-Anhalt,0,0,0,0,0,0
2000,Sachsen-Anhalt,Thuringen,66,42,108,1293,1410,2703
2000,Sachsen-Anhalt,Insgesamt,3091,1717,4808,25270,25357,50627
2000,Thuringen,Schleswig-Holstein,32,15,47,274,242,516
2000,Thuringen,Hamburg,30,14,44,200,188,388
2000,Thuringen,Niedersachsen,124,79,203,1446,1543,2989
2000,Thuringen,Bremen,10,5,15,61,73,134
2000,Thuringen,Nordrhein-Westfalen,305,218,523,1888,2091,3979
2000,Thuringen,Hessen,213,136,349,2365,2650,5015
2000,Thuringen,Rheinland-Pfalz,65,35,100,661,690,1351
2000,Thuringen,Baden-Wurttemberg,213,145,358,2461,2433,4894
2000,Thuringen,Bayern,317,188,505,4129,4405,8534
2000,Thuringen,Saarland,6,3,9,61,66,127
2000,Thuringen,Berlin,101,97,198,765,802,1567
2000,Thuringen,Brandenburg,18,7,25,407,445,852
2000,Thuringen,Mecklenburg-Vorpommern,13,6,19,291,314,605
2000,Thuringen,Sachsen,122,66,188,2095,2137,4232
2000,Thuringen,Sachsen-Anhalt,62,41,103,1054,1087,2141
2000,Thuringen,Thuringen,0,0,0,0,0,0
2000,Thuringen,Insgesamt,1631,1055,2686,18158,19166,37324
2000,Insgesamt,Schleswig-Holstein,2684,2125,4809,30868,31431,62299
2000,Insgesamt,Hamburg,4027,2815,6842,29311,27928,57239
2000,Insgesamt,Niedersachsen,6145,4642,10787,60633,61504,122137
2000,Insgesamt,Bremen,1342,1030,2372,10103,9759,19862
2000,Insgesamt,Nordrhein-Westfalen,13299,9325,22624,79733,77859,157592
2000,Insgesamt,Hessen,9368,6404,15772,48729,46740,95469
2000,Insgesamt,Rheinland-Pfalz,5619,4048,9667,35096,34220,69316
2000,Insgesamt,Baden-Wurttemberg,11585,8510,20095,69514,65879,135393
2000,Insgesamt,Bayern,11256,7795,19051,74576,71275,145851
2000,Insgesamt,Saarland,769,686,1455,5418,5232,10650
2000,Insgesamt,Berlin,5568,4199,9767,39310,37299,76609
2000,Insgesamt,Brandenburg,1588,1153,2741,31804,31672,63476
2000,Insgesamt,Mecklenburg-Vorpommern,681,429,1110,12164,11675,23839
2000,Insgesamt,Sachsen,2139,1367,3506,22979,21198,44177
2000,Insgesamt,Sachsen-Anhalt,1392,804,2196,13867,13134,27001
2000,Insgesamt,Thuringen,1121,690,1811,13115,12608,25723
2000,Insgesamt,Insgesamt,78583,56022,134605,577220,559413,1136633
2001,Schleswig-Holstein,Schleswig-Holstein,0,0,0,0,0,0
2001,Schleswig-Holstein,Hamburg,1060,846,1906,9041,8706,17747
2001,Schleswig-Holstein,Niedersachsen,310,246,556,4193,4249,8442
2001,Schleswig-Holstein,Bremen,54,30,84,394,339,733
2001,Schleswig-Holstein,Nordrhein-Westfalen,389,318,707,2873,2796,5669
2001,Schleswig-Holstein,Hessen,119,101,220,1005,994,1999
2001,Schleswig-Holstein,Rheinland-Pfalz,58,40,98,452,457,909
2001,Schleswig-Holstein,Baden-Wurttemberg,157,155,312,1537,1572,3109
2001,Schleswig-Holstein,Bayern,203,134,337,1570,1442,3012
2001,Schleswig-Holstein,Saarland,3,6,9,77,72,149
2001,Schleswig-Holstein,Berlin,112,102,214,1304,1089,2393
2001,Schleswig-Holstein,Brandenburg,11,16,27,464,417,881
2001,Schleswig-Holstein,Mecklenburg-Vorpommern,46,42,88,2019,1803,3822
2001,Schleswig-Holstein,Sachsen,17,11,28,349,256,605
2001,Schleswig-Holstein,Sachsen-Anhalt,14,5,19,274,218,492
2001,Schleswig-Holstein,Thuringen,21,7,28,221,148,369
2001,Schleswig-Holstein,Insgesamt,2574,2059,4633,25773,24558,50331
2001,Hamburg,Schleswig-Holstein,1045,807,1852,10623,11055,21678
2001,Hamburg,Hamburg,0,0,0,0,0,0
2001,Hamburg,Niedersachsen,544,399,943,5825,6005,11830
2001,Hamburg,Bremen,74,48,122,368,321,689
2001,Hamburg,Nordrhein-Westfalen,411,270,681,2005,1926,3931
2001,Hamburg,Hessen,203,169,372,929,869,1798
2001,Hamburg,Rheinland-Pfalz,50,30,80,274,255,529
2001,Hamburg,Baden-Wurttemberg,225,141,366,1127,1040,2167
2001,Hamburg,Bayern,330,178,508,1442,1261,2703
2001,Hamburg,Saarland,8,13,21,55,58,113
2001,Hamburg,Berlin,209,144,353,1463,1300,2763
2001,Hamburg,Brandenburg,25,13,38,311,251,562
2001,Hamburg,Mecklenburg-Vorpommern,48,29,77,907,829,1736
2001,Hamburg,Sachsen,38,17,55,230,213,443
2001,Hamburg,Sachsen-Anhalt,17,10,27,176,170,346
2001,Hamburg,Thuringen,11,8,19,128,92,220
2001,Hamburg,Insgesamt,3238,2276,5514,25863,25645,51508
2001,Niedersachsen,Schleswig-Holstein,754,664,1418,5382,5679,11061
2001,Niedersachsen,Hamburg,903,668,1571,6965,7028,13993
2001,Niedersachsen,Niedersachsen,0,0,0,0,0,0
2001,Niedersachsen,Bremen,718,641,1359,6286,6095,12381
2001,Niedersachsen,Nordrhein-Westfalen,3187,2711,5898,25084,25512,50596
2001,Niedersachsen,Hessen,1202,1083,2285,7512,7755,15267
2001,Niedersachsen,Rheinland-Pfalz,622,569,1191,3625,3690,7315
2001,Niedersachsen,Baden-Wurttemberg,1914,1826,3740,10224,10289,20513
2001,Niedersachsen,Bayern,1730,1574,3304,11212,11152,22364
2001,Niedersachsen,Saarland,186,178,364,772,771,1543
2001,Niedersachsen,Berlin,640,645,1285,4295,4150,8445
2001,Niedersachsen,Brandenburg,284,269,553,2928,3024,5952
2001,Niedersachsen,Mecklenburg-Vorpommern,54,40,94,2732,2811,5543
2001,Niedersachsen,Sachsen,583,520,1103,4277,4349,8626
2001,Niedersachsen,Sachsen-Anhalt,489,464,953,4294,4269,8563
2001,Niedersachsen,Thuringen,330,282,612,2483,2658,5141
2001,Niedersachsen,Insgesamt,13596,12134,25730,98071,99232,197303
2001,Bremen,Schleswig-Holstein,55,45,100,334,343,677
2001,Bremen,Hamburg,197,123,320,686,578,1264
2001,Bremen,Niedersachsen,660,510,1170,6995,7197,14192
2001,Bremen,Bremen,0,0,0,0,0,0
2001,Bremen,Nordrhein-Westfalen,224,164,388,903,862,1765
2001,Bremen,Hessen,76,56,132,336,328,664
2001,Bremen,Rheinland-Pfalz,32,18,50,142,131,273
2001,Bremen,Baden-Wurttemberg,66,68,134,445,422,867
2001,Bremen,Bayern,110,73,183,486,397,883
2001,Bremen,Saarland,8,6,14,25,24,49
2001,Bremen,Berlin,75,47,122,400,383,783
2001,Bremen,Brandenburg,7,5,12,62,70,132
2001,Bremen,Mecklenburg-Vorpommern,3,2,5,86,99,185
2001,Bremen,Sachsen,8,6,14,87,77,164
2001,Bremen,Sachsen-Anhalt,5,3,8,72,66,138
2001,Bremen,Thuringen,7,4,11,46,52,98
2001,Bremen,Insgesamt,1533,1130,2663,11105,11029,22134
2001,Nordrhein-Westfalen,Schleswig-Holstein,316,211,527,3198,3213,6411
2001,Nordrhein-Westfalen,Hamburg,518,330,848,3054,2802,5856
2001,Nordrhein-Westfalen,Niedersachsen,1740,1274,3014,14966,15168,30134
2001,Nordrhein-Westfalen,Bremen,244,146,390,1013,966,1979
2001,Nordrhein-Westfalen,Nordrhein-Westfalen,0,0,0,0,0,0
2001,Nordrhein-Westfalen,Hessen,1826,1277,3103,8865,8563,17428
2001,Nordrhein-Westfalen,Rheinland-Pfalz,1064,776,1840,8638,8224,16862
2001,Nordrhein-Westfalen,Baden-Wurttemberg,1981,1445,3426,9650,8972,18622
2001,Nordrhein-Westfalen,Bayern,1943,1345,3288,10433,9198,19631
2001,Nordrhein-Westfalen,Saarland,104,94,198,714,708,1422
2001,Nordrhein-Westfalen,Berlin,759,626,1385,5634,5172,10806
2001,Nordrhein-Westfalen,Brandenburg,85,76,161,1593,1433,3026
2001,Nordrhein-Westfalen,Mecklenburg-Vorpommern,77,28,105,993,889,1882
